id,title,image_id,artist_display,date_display
84676,Standing Angel (recto); Study of Face and Drapery (verso),77096e49-888e-b496-c385-ff2e9918ea4d,"Probably Domenico Fiasella (Italian, 1589-1669)
or possibly Bernardo Strozzi (Italian, 1581-1644)
or possibly Lodovico Carracci (Italian, 1555-1619)",n.d.
84907,"Standing Draped Male Figure, Holding Staff",94326e5d-183a-e280-88ac-ee4aef98ac5b,"Unknown Artist
French or Italian, possibly Florentine, 17th century",n.d.
16622,Madame Léon Clapisson,a7af09dc-5743-062e-4802-b6435e67eaa5,"Pierre-Auguste Renoir (French, 1841–1919)",1883
188963,Samian Sibyl,687d4beb-dc3d-827e-1dc0-c5e191860bb7,"Claude Vignon
French, 1593-1670",c. 1630
113981,Suggestion,2fa96dd2-8d42-50be-43fd-f8d32a81c7d4,"Odilon Redon
French, 1840-1916",c. 1885 (later reworked)
84310,Female Saint Beholding Vision of Christ Child and Saint Joseph,b8d54a12-40b3-758e-5eab-c620dd2c9844,"Attributed to El Greco (Doménikos Theotokópoulos)
Greek, active in Spain, 1541–1614",n.d.
114882,Shipdock Scene,4acf8e86-361a-205d-5046-eefef27837d2,"Tom Roberts
Australian, 1856-1931",n.d.
139888,Saint Anthony Abbot from an Augustinian altarpiece,b8e83afa-d1ec-95a2-12d8-deeecb9fa2b4,Italian; Venice,1450/75
82530,Portrait of a Man,1de28fa3-0722-e89b-d8e2-c135aaa943ed,"Lovis Corinth
German, 1858-1925",after 1923
81823,Lamentation,01300a36-489b-f94f-38fd-3de636c6c284,"Unknown artist
French or Italian (17th century)",n.d.
12001,Quiet Blue,a218ffae-1a4e-2ff4-97b8-ab6e6d91728d,"Rainey Bennett
American, 1907-1998",1960
81843,Bacchanalian Scene,9beff3f5-6ba9-0746-f629-d8d4587e6af3,"Attributed to Eduard DuBois (Flemish, 1619-1697)
or Amico Aspertini (Italian, c. 1475-1552)
or Lodovico Carracci (Italian, 1555-1619)
or Joachim von Sandrart, I (German, 1606-1688)",n.d.
114043,Bacchus and Maiden,05403685-9b2a-8782-0e7a-a3d5b5fb8595,"Giovanni Battista Cipriani
Italian, 1727-1785",1747/1785
86079,Head of Venus de Medici,ee6c8364-83f5-7612-4ae2-5e105b0eb906,"Vincenzo Dandini
Italian, 1607-1675",n.d.
113746,Study X for Richard J. Daley Center Sculpture,d65c4fb0-59fc-19a7-c2a1-975ced4d8211,"Pablo Picasso
Spanish, 1881-1973","January 28, 1964"
11889,Sprawling Male Nude,f6a3b246-6132-e338-47be-47eb16b0a8a9,"Hyman Bloom
American, born 1913",1930
242806,"Unidentified Garden Bench and Church, Rome, Italy, Travel Sketch",9df3ddae-ead2-08cd-5fba-ba3ce06f0335,"George Washington Maher 
American, 1864–1926",c. 1889
86056,St. Thomas's Chapel Newcastle,d128b174-4aaf-747e-de1e-36741eb6d99c,"Unknown Artist
United Kingdom, 19th century",n.d.
52682,Three Women Beneath a Tree,a999bd8a-f7bf-181c-3ab4-f3c67bade783,"Diego Rivera
Mexican, 1886-1957",1936
15791,The Wedding Toilette,b40a57ea-51d4-8c75-bf46-887d6056f0d5,"Jean Louis Forain
French, 1852-1931",n.d.
83049,Inverness,ef270183-7363-ab47-ad8e-3a1d741a1730,"William Leighton Leitch
Scottish, 1804-1883",1844
85965,"View of the Village of Chamonix, and the Bossons Glacier",8f0e994e-a6f2-f23e-b690-301546820ff7,"Unknown Artist
British, n.d.",n.d.
89570,"Mid–Town Area Redevelopment Plan, Philadelphia, Pennsylvania, Design Sketch",3194154d-d685-240c-665c-d40cef1e110e,"Louis Kahn
American, 1909–1974",c. 1939
72543,Head of a Woman,e553fe98-98f3-c13c-bd81-d8bc6265a5f2,"Henri Matisse
French, 1869-1954",1942
202016,Untitled (Envelope Decorated with Pink Figures),8d72ffb4-b594-02a6-d48d-79a380958a65,"Edward Gorey
American, 1925-2000",1947
34617,Sailor with a Monkey,ee2fc428-a577-b678-9c86-5c81349c62d4,"Attributed to Alexandre Gabriel Decamps
French, 1803-1860",n.d.
150798,Project for a Chapel Dedicated to Saints Peter and Paul,86206b93-001d-cc8e-723b-a9fd2deb1108,"James Ensor
Belgian, 1860-1949",1897
115270,Fishmarket Scene,4ec0c12c-f8ef-196c-8d8b-4c136eb40a96,"William Henry Pyne
English, 1769-1843",n.d.
108678,15 Years Magnified Through a Drop of Water,d5ad35ee-0592-e04e-1ca1-208a40f48d6a,"James Rosenquist (American, born 1933)
published by Universal Limited Art Editions (American, founded 1955)",1972
83262,Ancient Statue of Seated Putto Playing with Mask,151e9ef2-2e36-aaff-307c-6459e5f9e89a,"John Downman
English, 1750-1824",1775
103232,"Mr. and Mrs. Norman Weinrib House, Highland Park, Illinois, Plans",ff862f15-5f40-89dc-83fe-bda02d7488a2,"Marianne Willisch (American born Vienna, 1897–1984)
Keck & Keck (American, 20th cen.)",c. 1962
7114,Christ Kneeling,8e944c2f-f787-47a2-2143-f67d1e07b8f3,"After Carlo Dolci
Italian, 1616-1686",n.d.
82484,Finding of Moses,477f32bd-96f1-ee76-8611-3350ed124a11,"Possibly after Pier Francesco Mola (Italian, 1612-1666)
or possibly Sebastiano Ricci (Italian, 1659-1734)
or Unknown Flemish artist (Netherlands, 1600-99)",n.d.
